1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,50
0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,5,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,50
0.8,0.8,0.6,0.8,0.8,0.6,0.8,0.8,0.8,0.8,5,7,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,50
0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8333333333333334,6,10,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,50
0.75,0.75,0.75,0.75,0.0,0.5,0.0,0.5,0.0,0.5,4,15,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,50
0.4285714285714286,0.2857142857142857,0.4285714285714286,0.5714285714285714,0.4285714285714286,0.2857142857142857,0.4285714285714286,0.1428571428571429,0.7142857142857143,0.5714285714285714,7,17,50
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,4,18,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,3,23,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,25,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,27,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,28,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,50
0.05882352941176472,0.05882352941176472,0.05882352941176472,0.0,0.0,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,0.05882352941176472,17,30,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,31,50
0.25,0.5,0.25,0.5,0.5,0.0,0.5,0.5,0.25,0.5,4,32,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33,50
0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2,34,50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,35,50
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,36,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,37,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,50
0.4,0.6,0.6,0.4,0.4,0.6,0.19999999999999996,0.4,0.19999999999999996,0.4,5,41,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,42,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,50
