version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt
2,0.9917168674698795,0.9977409638554217,0.9917168674698795,0.9924698795180723,0.9969879518072289,0.9954819277108434,0.9932228915662651,0.9954819277108434,0.9969879518072289,0.990210843373494,1328
3,0.9928571428571429,0.9952380952380953,0.9988095238095238,0.9880952380952381,0.9928571428571429,0.9964285714285714,0.9928571428571429,0.9964285714285714,0.9940476190476191,0.9976190476190476,840
5,0.9894366197183099,0.9788732394366197,0.9894366197183099,0.9894366197183099,0.9788732394366197,0.9964788732394366,0.9929577464788732,0.9894366197183099,0.9964788732394366,0.9823943661971831,284
6,0.992603550295858,0.992603550295858,0.9896449704142012,0.9763313609467456,0.9911242603550295,0.9881656804733728,0.992603550295858,0.9866863905325444,0.9792899408284024,0.9792899408284024,676
7,0.9916839916839917,0.9958419958419958,0.9958419958419958,0.9958419958419958,0.9958419958419958,0.997920997920998,0.9958419958419958,0.9937629937629937,0.9916839916839917,0.9958419958419958,481
8,0.9743589743589743,0.9641025641025641,0.9846153846153847,0.9743589743589743,0.9538461538461538,0.9692307692307692,0.9692307692307692,0.9743589743589743,0.9794871794871794,0.9692307692307692,195
9,0.9947534102833159,0.9926547743966422,0.9926547743966422,0.9958027282266527,0.9947534102833159,0.9905561385099685,0.9958027282266527,0.9947534102833159,0.9968520461699895,0.9926547743966422,953
10,0.9622641509433962,0.9245283018867925,0.9433962264150944,0.9622641509433962,0.9811320754716981,0.9433962264150944,0.9622641509433962,0.9433962264150944,0.9811320754716981,0.8867924528301887,53
11,0.9585492227979274,0.9740932642487047,0.9637305699481865,0.9689119170984456,0.9637305699481865,0.9585492227979274,0.9637305699481865,0.9896373056994818,0.9792746113989638,0.9689119170984456,193
12,0.9990827791790874,0.9993120843843155,0.998624168768631,0.9981655583581748,0.9974776427424903,0.9977069479477184,0.9983948635634029,0.9981655583581748,0.9988534739738592,0.998624168768631,4361
13,0.9943566591422122,0.9920993227990971,0.9909706546275395,0.9932279909706546,0.9988713318284425,0.9920993227990971,0.9864559819413092,0.9966139954853274,0.9988713318284425,0.9920993227990971,886
14,0.9980997624703087,0.9980997624703087,0.9984164687252574,0.997624703087886,0.9985748218527316,0.9980997624703087,0.9982581155977831,0.9971496437054632,0.9982581155977831,0.9980997624703087,6315
16,0.9832214765100671,0.9932885906040269,0.9966442953020134,0.9932885906040269,0.9899328859060402,0.9932885906040269,0.9932885906040269,0.9932885906040269,0.9899328859060402,0.9899328859060402,298
17,0.9888268156424581,0.9981378026070763,0.9925512104283054,0.9972067039106145,0.9934823091247672,0.9916201117318436,0.9990689013035382,0.9953445065176909,0.9897579143389199,0.9981378026070763,1074
18,0.9821428571428571,0.9897959183673469,0.9923469387755102,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9923469387755102,0.9948979591836735,0.9897959183673469,392
19,0.9982194524816381,0.9993322946806142,0.9975517471622524,0.9973291787224572,0.9982194524816381,0.9982194524816381,0.9975517471622524,0.9991097262408191,0.9977743156020477,0.9964389049632763,4493
20,0.9941972920696325,0.988394584139265,0.9961315280464217,0.988394584139265,0.9980657640232108,0.988394584139265,0.9864603481624759,0.9903288201160542,0.9864603481624759,0.9941972920696325,517
21,0.9966386554621849,0.9932773109243698,0.9932773109243698,0.9983193277310924,0.9949579831932773,0.9966386554621849,0.9983193277310924,0.9983193277310924,0.9932773109243698,0.9932773109243698,595
22,0.9878048780487805,0.9878048780487805,0.9796747967479675,0.991869918699187,0.983739837398374,0.9959349593495935,0.9796747967479675,0.9796747967479675,0.975609756097561,0.9796747967479675,246
23,0.9997851772287862,0.9995703544575725,0.9993555316863587,0.9995703544575725,0.9991407089151451,0.9993555316863587,0.9993555316863587,0.9987110633727175,0.9993555316863587,0.9993555316863587,4655
24,0.92,0.84,0.92,0.76,0.88,0.96,0.96,0.96,0.76,0.88,25
